id,product_tmpl_id/id,attribute_id/id,value_ids/id
ptal_fp_chanh_day_lac_sua_da,zed_custom.pt_fp_chanh_day_lac_sua,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_dao_tt_ngot,zed_custom.pt_fp_tra_dao_tt,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_dao_tt_tra,zed_custom.pt_fp_tra_dao_tt,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_dao_tt_da,zed_custom.pt_fp_tra_dao_tt,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_quat_bac_ha_ngot,zed_custom.pt_fp_tra_quat_bac_ha,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_quat_bac_ha_tra,zed_custom.pt_fp_tra_quat_bac_ha,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_quat_bac_ha_da,zed_custom.pt_fp_tra_quat_bac_ha,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_quat_xi_muoi_ngot,zed_custom.pt_fp_tra_quat_xi_muoi,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_quat_xi_muoi_tra,zed_custom.pt_fp_tra_quat_xi_muoi,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_quat_xi_muoi_da,zed_custom.pt_fp_tra_quat_xi_muoi,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_chanh_tuoi_xi_muoi_ngot,zed_custom.pt_fp_chanh_tuoi_xi_muoi,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_chanh_tuoi_xi_muoi_tra,zed_custom.pt_fp_chanh_tuoi_xi_muoi,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
